name,hours,date,link,note
W.W. Grainger Inc,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43219,
Sherwin-Williams - EMEA - INV,0.25,2025-01-20,https://conexiom.atlassian.net/browse/CD-7158,
W.W. Grainger Inc,0.25,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43224,
Graybar – PO,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43231,
Graybar – PO,0.25,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43239,
Digi-Key Corporation – PO,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43114,
PR Review - Workato,0.25,2025-01-20,https://dev.azure.com/conexiom/Mapping/_git/Workato/pullrequest/21619,
Parker EMEA - DACH,0.75,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43089,
Honeywell - SPS (API - BRP2),0.75,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43090,
Diversey - Istanbul,0.75,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43097,
W.W. Grainger Inc,0.25,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43111,
W.W. Grainger Inc,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43125,
RUBIX Group - NL,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43145,
Honeywell - SPS (API - Sperian),0.25,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43121,
Resideo,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43131,
Pfizer - Saudi Arabia (PO),0.75,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43148,
RUBIX Group - DE - Zitec,0.5,2025-01-20,https://conexiom.atlassian.net/browse/IQ-43163,


